RowID,ObjectID,Term1,Term2,Term3,Term4,Term5,Term6
1,18583,paintings, tempera,,,,
2,19128,amphorae,,,,,
3,19156,pyxides,,,,,
4,19206,aryballoi,,,,,
5,19746,busts, high relief, keystone, sculpture,,
6,19782,jars,,,,,
7,19912,figures (representations), figurines, vessels,,,
8,19968,paintings,,,,,
9,20038,kantharos,,,,,
10,46950,etching,,,,,
11,47087,books, engravings,,,,
12,20105,oil paintings,,,,,
13,20106,paintings,,,,,
14,21302,ornament,,,,,
15,21305,ornament,,,,,
16,20821,oil paintings,,,,,
17,3139,drawings, sketchbooks,,,,
18,21699,oil paintings,,,,,
19,21730,oil paintings, sketches,,,,
20,3656,drawings,,,,,
21,3658,drawings, watercolors,,,,
22,21911,ivories, plaques (flat objects), reliefs,,,
23,21946,oil paintings,,,,,
24,21914,friezes (ornamental bands), reliefs,,,,
25,22247,oil paintings,,,,,
26,22043,oil paintings, paintings,,,,
27,4713,drawings,,,,,
28,22394,oil paintings,,,,,
29,4802,drawings,,,,,
30,22614,oil paintings,,,,,
31,22615,oil paintings,,,,,
32,22079,sculptures,,,,,
33,23197,busts, portraits,,,,
34,22781,oil paintings,,,,,
35,22886,Chinese painting styles, hanging scrolls, scroll paintings,,,
36,5509,watercolors,,,,,
37,5237,drawings,,,,,
38,23553,Chinese painting styles, hanging scrolls, scroll paintings,,,
39,5253,drawings,,,,,
40,23270,portraits, sculptures,,,,
41,23342,Chinese painting styles, hanging scrolls, scroll paintings,,,
42,23727,statues,,,,,
43,8047,drawings, studies (visual works),,,,
44,7748,drawings, studies (visual works),,,,
45,8161,drawings, studies (visual works),,,,
46,8421,drawings,,,,,
47,6306,drawings,,,,,
48,8740,drawings, studies (visual works),,,,
49,23700,oil paintings, portraits,,,,
50,23705,funerary objects, sarcophagi,,,,
51,23744,architectural elements, capitals and capital components,,,,
52,23367,oil paintings,,,,,
53,23368,Panathenaic amphorae,,,,,
54,23888,statues,,,,,
55,42128,manuscripts,,,,,
56,24418,bronzes, drinking vessels, zun,,,
57,24317,hanging scrolls, Japanese painting styles, scroll paintings,,,
58,24185,funerary objects, relief, sarcophagi, tabernacle frames,,
59,24311,oil paintings,,,,,
60,24435,oil paintings,,,,,
61,24559,sculpture,,,,,
62,24539,bronzes, sculpture,,,,
63,24513,oil paintings,,,,,
64,8833,drawings, pastel,,,,
65,24004,caryatids, headrests, sculpture,,,
66,24006,box (container), carving, cosmetics,,,
67,9449,drawings, pastels,,,,
68,24961,bust, sculpture,,,,
69,24455,sculpture,,,,,
70,27252,landscapes (representations), paintings,,,,
71,27763,dishes,,,,,
72,28079,manuscripts,,,,,
73,9790,drawings, watercolors,,,,
74,9793,drawings, watercolors,,,,
75,28094,sculpture,,,,,
76,9654,drawings, preparatory studies,,,,
77,28330,oil paintings, portrait,,,,
78,28154,paintings,,,,,
79,27895,sculptures,,,,,
80,28405,handscrolls, Japanese painting styles, temples,,,
81,28649,oil paintings,,,,,
82,28869,relief, sculpture, stele,,,
83,28956,paintings,,,,,
84,28732,paintings,,,,,
85,28768,sculptures,,,,,
86,28905,paintings, tempera,,,,
87,28760,paintings, tempera,,,,
88,29134,bracelets (jewelry), cuffs (costume components), ornament,,,
89,54924,albums, calligraphy (visual work), calligraphy (writing), paintings,,
90,29106,albums, Chinese painting styles, paintings,,,
91,29435,Japanese painting styles, paintings, screens (furniture),,,
92,29317,oil paintings,,,,,
93,29339,oil paintings,,,,,
94,29121,oil paintings, portrait,,,,
95,29713,bronzes, guang, vessels for serving drinks,,,
96,29783,bell (aerophone component), bronzes, ceremonial objects,,,
97,29456,figure (representation), sculpture,,,,
98,29430,ceramics, jars,,,,
99,29551,mosaic, mosaics,,,,
100,30115,bottle, ceramics, glazing (coating),,,
101,30003,religious art, sculpture,,,,
102,29888,sofas,,,,,
103,30357,albums, calligraphy (visual work), calligraphy (writing), paintings,,
104,61754,albums, calligraphy (visual work), calligraphy (writing), paintings,,
105,30620,oil paintings,,,,,
106,30812,Japanese painting styles, paintings, screens (furniture),,,
107,31412,vessels,,,,,
108,31536,oil paintings,,,,,
109,11023,drypoint, prints,,,,
110,31509,oil paintings,,,,,
111,31420,faces, masks (costume), sculpture,,,
112,31803,plaque,,,,,
113,31852,oil paintings,,,,,
114,31671,sculpture,,,,,
115,31949,chairs,,,,,
116,31750,reliquary figures,,,,,
117,31589,labrets, ornament,,,,
118,31504,figures (representations), figurines,,,,
119,54926,ceramics, figures (representations), figurines,,,
120,31450,figures (representations), figurines,,,,
121,12553,black-and-white photographs, black-and-white photography, gelatin silver prints,,,
122,31985,fragment, reliefs, sculpture,,,
123,32015,stained glass windows,,,,,
124,32162,ceramics, stirrup jar, vessels for serving drinks,,,
125,32190,oil paintings,,,,,
126,31872,oil paintings,,,,,
127,32221,ceramics, drinking vessels, vases,,,
128,32255,Chinese painting styles, hanging scrolls, scroll painting,,,
129,13024,albumen prints, black-and-white photographs, black-and-white photography,,,
130,32269,figurines, incising,,,,
131,32156,figurines,,,,,
132,31507,oil paintings,,,,,
133,32272,oil paintings, portraits,,,,
134,32245,oil paintings, portrait,,,,
135,32262,figurines,,,,,
136,109043,figurines,,,,,
