RowID,ObjectID,Geography_Type,Continent,Subcontinent,Country
1,34085,,,,
2,18583,,,,
3,19128,Place made,Europe,,South Italy
4,34202,Place excavated,Asia,,
5,34110,,,,
6,34742,,,,
7,19156,,,,
8,19206,,,,
9,19746,Geographic Attribution,,,Syria
10,19782,,,,
11,19912,Place made,,,Iran
12,19968,,,,
13,20038,,,,
14,46950,,,,
15,47087,,,,
16,20105,,,,
17,20106,Place made,Europe,,France
18,21302,Place made,Europe,,Greece
19,21305,Place made,Europe,,Greece
20,20821,,,,
21,3139,,,,
22,21699,,,,
23,21730,,,,
24,3656,,,,
25,3658,,,,
26,21911,Place made,,,Turkey
27,21946,,,,
28,21914,Place made,Asia,,India
29,22247,,,,
30,22043,,,,
31,4713,,,,
32,22394,,,,
33,4802,,,,
34,22614,,,,
35,22615,,,,
36,22079,Place made,North America,,United States
37,23197,,,,
38,22781,,,,
39,22886,Place made,Asia,,China
40,5509,,,,
41,5237,,,,
42,23553,Place made,Asia,,China
43,5253,,,,
44,23270,,,,
45,23342,Place made,Asia,,China
46,23727,,,,
47,8047,,,,
48,7748,,,,
49,8161,,,,
50,8421,,,,
51,6306,,,,
52,8740,,,,
53,23700,,,,
54,23705,,,,
55,23744,Place made,Europe,,France
56,23367,,,,
57,23368,,,,
58,23888,Place made,Asia,,China
59,42128,Place made,Africa,,Ethiopia
60,24418,Place made,Asia,,China
61,24317,Place made,Asia,,Japan
62,24185,Place made,Europe,,Italy
63,24311,,,,
64,24435,,,,
65,24559,Place made,,,France
66,24539,,,,
67,24513,,,,
68,8833,,,,
69,24004,Place made,Africa,Central and South Africa,Angola or Democratic Republic of the Congo
70,24006,Place made,,Central Africa,Democratic Republic of the Congo
71,9449,,,,
72,24961,Place made,Europe,,South Germany
73,24455,,,,
74,27252,,,,
75,27763,,,,
76,28079,Place made,,,Turkey
77,9790,,,,
78,9793,,,,
79,28094,,,,
80,9654,,,,
81,28330,,,,
82,28154,,,,
83,27895,Place made,Europe,,France
84,28405,Place made,Asia,,Japan
85,28649,,,,
86,28869,Place made,Asia,,India
87,28956,Place made,Europe,,Italy
88,28732,,,,
89,28768,,,,
90,28905,,,,
91,28760,,,,
92,29134,Place made,Africa,West Africa,Nigeria
93,54924,Place made,Asia,,China
94,29106,Place made,Asia,,China
95,29435,Place made,Asia,,Japan
96,29317,,,,
97,29339,,,,
98,29121,,,,
99,29713,Place made,Asia,,China
100,29783,Place made,Asia,,China
101,29456,Place excavated,North America,Mesoamerica,Mexico
102,29430,,,,
103,29551,Place excavated,,,Turkey
104,30115,Place made,Asia,,China
105,30003,Place made,Asia,,Japan
106,29888,Place made,,,United States
107,30357,Place made,Asia,,China
108,61754,Place made,Asia,,China
