RowID,ObjectID,Object_Number,Sort_Number,Dept,Maker,Alpha_Sort,Title,Date,Begin_Date,End_Date,Medium,Dimensions,Credit_Line,Primary_Image_Filename,GeoRowID,GeoObjectID,Geography_Type,Continent,Subcontinent,Country
1,18583,y144,144     y,EPS,"Guido da Siena, Italian, active 1262_1270s","Siena, Guido da",Annunciation,,1262,1279,Tempera on wood panel,"35.1 x 48.8 cm. (13 13/16 x 19 3/16 in.)
frame: 45 _ 57.5 _ 5.5 cm (17 11/16 _ 22 5/8 _ 2 3/16 in.)","Museum purchase, Caroline G. Mather Fund",y144.jpg,2,18583,,,,
2,19128,y168,168     y,ABI,"Greek, Attic; attributed to the Princeton Painter",Attic; Princeton Painter,Black-figure panel amphora: Theseus and the Minotaur,ca. 545_535 B.C.,-545,-535,Ceramic,"h. 42.8 cm., diam. 28.4 cm. (16 7/8 x 11 3/16 in.)
diam. rim 17.6 cm., diam. foot 15.3 cm.",Trumbull-Prime Collection,y168_ver_a.jpg,3,19128,Place made,Europe,,South Italy
3,19156,y1928-16,1928   16y,ABI,"Greek, Attic; Late Geometric Ia",Attic; Geometric,Pyxis with pair of horses on the lid,ca. 760_750 B.C.,-760,-750,Ceramic,"h. 17.0 cm., diam. 24.7 cm. (6 11/16 x 9 3/4 in.)
h. without lid 7.7 cm. (3 1/16 in.)",Museum purchase,y1928-16.jpg,7,19156,,,,
4,19206,y1929-189,1929  189y,ABI,"Greek; Early Corinthian; attributed to the Lion Group, active ca. 625_600 B.C.",Greek; Corinthian; Lion Group,Round Aryballos: octopus,ca. 625_600 B.C.,-625,-600,Ceramic,"h. 6.7 cm., diam. 6.6 cm. (2 5/8 x 2 5/8 in.)
diam. rim 4.2 cm. (1 5/8 in.)",Gift of Jessie P. Frothingham,y1929-189_1.jpg,8,19206,,,,
5,19746,y1930-456,1930  456y,ABI,Roman,Roman,Keystone with bust of Tyche in high relief,early 2nd century A.D.,100,129,Brown basalt,"h. 34.6 cm., w. 40.0 cm., d. 31.0 cm. (13 5/8 x 15 3/4 x 12 3/16 in.)
lateral h. of keystone 30 cm., h. in the middle 34.6 cm., w. at bottom 33 cm., w. at the top 40 cm., d. of keystone 7 cm., d. with bust 31 cm.","Princeton University Archaeological Expedition to Syria, 1904-5 and 1909",y1930-456.jpg,9,19746,Geographic Attribution,,,Syria
6,19782,y1930-489,1930  489y,ABI,"Egyptian; Predynastic Period, Naqada II c-d",Egyptian; Predynastic Period,Jar with painted boats,ca. 3650_3300 B.C.,-3650,-3600,Ceramic,"h. 18.0 cm., diam. 13.0 cm. (7 1/16 x 5 1/8 in.)
diam. rim 12.8 cm. (5 1/16 in.)","Gift of William C. Hayes, Class of 1924",y1930-489.jpg,10,19782,,,,
7,19912,y1931-3,1931    3y,ABI,Persian,Persian,Molded vessel: seated man holding a water skin,Second half of the 13th century,1250,1299,Frit body painted in black under a turquoise glaze,"h. 25.2 cm., w. 13.2 cm., d. 11.8 cm. (9 15/16 x 5 3/16 x 4 5/8 in.)","Museum purchase, Trumbull-Prime Fund",y1931-3_OBL.jpg,11,19912,Place made,,,Iran
8,19968,y1932-34,1932   34y,EPS,"Workshop of Gerard David, Netherlandish, ca. 1460_1523","David, Gerard",Adoration of the Magi,ca. 1514,1509,1519,Oil on wood panel,"64.2 x 82 cm. (25 1/4 x 32 5/16 in.)
frame: 78.1 x 95.6 x 5.1 cm. (30 3/4 x 37 5/8 x 2 in.)",Museum purchase,y1932-34.jpg,12,19968,,,,
9,20038,y1933-45,1933   45y,ABI,"Greek, Attic; Attributed to Princeton Class",Attic; Princeton Class,Janiform kantharos with addorsed heads of a male African and a female Greek,ca. 480_470 B.C.,-480,-470,Ceramic,"h. 14.9 cm., w. 13.8 cm., d. 11.2 cm., diam. rim 9.2 cm. (5 7/8 x 5 7/16 x 4 7/16 x 3 5/8 in.)","Bequest of Junius S. Morgan, Class of 1888",y1933-45.jpg,13,20038,,,,
10,46950,x1934-323,1934  323x,P&D,"Jacques Callot, French, 1592_1635","Callot, Jacques","Temptation of St. Anthony, first version",ca. 1616-1617,1611,1621,Etching,sheet trimmed to plate: 37 x 49.3 cm. (14 9/16 x 19 7/16 in.),"Bequest of Junius S. Morgan, Class of 1888",x1934-323.jpg,14,46950,,,,
11,47087,x1934-369,1934  369x,P&D,"Albrecht D?rer, Nuremberg 1471_1528 Nuremberg","D?rer, Albrecht",The Engraved Passion,1507_12,1507,1512,Engraving,"sheet (each): 20.5 x 14.3 cm. (8 1/16 x 5 5/8 in.)
book: 21 x 14.6 cm. (8 1/4 x 5 3/4 in.)","Bequest of Junius S. Morgan, Class of 1888",x1934-369.jpg,15,47087,,,,
12,20105,y1935-4,1935    4y,EPS,"Jean-Baptiste Sim_on Chardin, French, 1699_1779","Chardin, Jean-Baptiste Sim_on",Attributes of the Painter,ca. 1725_27,1720,1727,Oil on canvas,"50 x 86 cm. (19 11/16 x 33 7/8 in.)
frame: 70.8 _ 108.9 _ 6.5 cm (27 7/8 _ 42 7/8 _ 2 9/16 in.)",Gift of Helen Clay Frick,y1935-4.jpg,16,20105,,,,
13,20106,y1935-5,1935    5y,EPS,"Jean-Baptiste Sim_on Chardin, French, 1699_1779","Chardin, Jean-Baptiste Sim_on",Attributes of the Architect,ca. 1725-27,1720,1727,Oil on canvas,"50 x 86 cm. (19 11/16 x 33 7/8 in.)
frame: 70.8 _ 108.9 _ 6.2 cm (27 7/8 _ 42 7/8 _ 2 7/16 in.)",Gift of Helen Clay Frick,y1935-5.jpg,17,20106,Place made,Europe,,France
14,21302,y1938-49,1938   49y,ABI,Greek; Hellenistic,Greek; Hellenistic,Breast ornament with bust of Athena,2nd century B.C.,-199,-100,"Gold, garnet, and enamel",diam. 7.9 cm. (3 1/8 in.),Museum purchase,y1938-49_1.jpg,18,21302,Place made,Europe,,Greece
