RowID,ObjectID,Term
1,18583,paintings
2,18583,tempera
3,19128,amphorae
4,19156,pyxides
5,19206,aryballoi
6,19746,busts
7,19746,high relief
8,19746,keystone
9,19746,sculpture
10,19782,jars
11,19912,figures (representations)
12,19912,figurines
13,19912,vessels
14,19968,paintings
15,20038,kantharos
16,46950,etching
17,47087,books
18,47087,engravings
19,20105,oil paintings
20,20106,paintings
21,21302,ornament
22,21305,ornament
23,20821,oil paintings
24,3139,drawings
25,3139,sketchbooks
26,21699,oil paintings
27,21730,oil paintings
28,21730,sketches
29,3656,drawings
30,3658,drawings
31,3658,watercolors
32,21911,ivories
33,21911,plaques (flat objects)
34,21911,reliefs
35,21946,oil paintings
36,21914,friezes (ornamental bands)
37,21914,reliefs
38,22247,oil paintings
39,22043,oil paintings
40,22043,paintings
41,4713,drawings
42,22394,oil paintings
43,4802,drawings
44,22614,oil paintings
45,22615,oil paintings
46,22079,sculptures
47,23197,busts
48,23197,portraits
49,22781,oil paintings
50,22886,Chinese painting styles
51,22886,hanging scrolls
52,22886,scroll paintings
53,5509,watercolors
54,5237,drawings
55,23553,Chinese painting styles
56,23553,hanging scrolls
57,23553,scroll paintings
58,5253,drawings
59,23270,portraits
60,23270,sculptures
61,23342,Chinese painting styles
62,23342,hanging scrolls
63,23342,scroll paintings
64,23727,statues
65,8047,drawings
66,8047,studies (visual works)
67,7748,drawings
68,7748,studies (visual works)
69,8161,drawings
70,8161,studies (visual works)
71,8421,drawings
72,6306,drawings
73,8740,drawings
74,8740,studies (visual works)
75,23700,oil paintings
76,23700,portraits
77,23705,funerary objects
78,23705,sarcophagi
79,23744,architectural elements
80,23744,capitals and capital components
81,23367,oil paintings
82,23368,Panathenaic amphorae
83,23888,statues
84,42128,manuscripts
85,24418,bronzes
86,24418,drinking vessels
87,24418,zun
88,24317,hanging scrolls
89,24317,Japanese painting styles
90,24317,scroll paintings
91,24185,funerary objects
92,24185,relief
93,24185,sarcophagi
94,24185,tabernacle frames
95,24311,oil paintings
96,24435,oil paintings
97,24559,sculpture
98,24539,bronzes
99,24539,sculpture
100,24513,oil paintings
101,8833,drawings
102,8833,pastel
103,24004,caryatids
104,24004,headrests
105,24004,sculpture
106,24006,box (container)
107,24006,carving
108,24006,cosmetics
109,9449,drawings
110,9449,pastels
111,24961,bust
112,24961,sculpture
113,24455,sculpture
114,27252,landscapes (representations)
115,27252,paintings
116,27763,dishes
117,28079,manuscripts
118,9790,drawings
119,9790,watercolors
120,9793,drawings
121,9793,watercolors
122,28094,sculpture
123,9654,drawings
124,9654,preparatory studies
125,28330,oil paintings
126,28330,portrait
127,28154,paintings
128,27895,sculptures
129,28405,handscrolls
130,28405,Japanese painting styles
131,28405,temples
132,28649,oil paintings
133,28869,relief
134,28869,sculpture
135,28869,stele
136,28956,paintings
137,28732,paintings
138,28768,sculptures
139,28905,paintings
140,28905,tempera
141,28760,paintings
142,28760,tempera
143,29134,bracelets (jewelry)
144,29134,cuffs (costume components)
145,29134,ornament
146,54924,albums
147,54924,calligraphy (visual work)
148,54924,calligraphy (writing)
149,54924,paintings
150,29106,albums
151,29106,Chinese painting styles
152,29106,paintings
153,29435,Japanese painting styles
154,29435,paintings
155,29435,screens (furniture)
156,29317,oil paintings
157,29339,oil paintings
158,29121,oil paintings
159,29121,portrait
160,29713,bronzes
161,29713,guang
162,29713,vessels for serving drinks
163,29783,bell (aerophone component)
164,29783,bronzes
165,29783,ceremonial objects
166,29456,figure (representation)
167,29456,sculpture
168,29430,ceramics
169,29430,jars
170,29551,mosaic
171,29551,mosaics
172,30115,bottle
173,30115,ceramics
174,30115,glazing (coating)
175,30003,religious art
176,30003,sculpture
177,29888,sofas
178,30357,albums
179,30357,calligraphy (visual work)
180,30357,calligraphy (writing)
181,30357,paintings
182,61754,albums
183,61754,calligraphy (visual work)
184,61754,calligraphy (writing)
185,61754,paintings
186,30620,oil paintings
187,30812,Japanese painting styles
188,30812,paintings
189,30812,screens (furniture)
190,31412,vessels
191,31536,oil paintings
192,11023,drypoint
193,11023,prints
194,31509,oil paintings
195,31420,faces
196,31420,masks (costume)
197,31420,sculpture
198,31803,plaque
199,31852,oil paintings
200,31671,sculpture
201,31949,chairs
202,31750,reliquary figures
203,31589,labrets
204,31589,ornament
205,31504,figures (representations)
206,31504,figurines
